match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR,out/not_out,match_id
Pakistan Vs England,Pakistan,6,Shadab Khan,c Woakes b Jordan,20,14,2,0,142.85,Out,T20I # 1879
Pakistan Vs England,Pakistan,7,Mohammad Nawaz,c Livingstone b Curran,5,7,0,0,71.42,Out,T20I # 1879
Pakistan Vs England,Pakistan,8,Mohammad Wasim,c Livingstone b Jordan,4,8,0,0,50.00,Out,T20I # 1879
Pakistan Vs England,Pakistan,9,Shaheen Shah Afridi,,5,3,1,0,166.66,Not Out,T20I # 1879
Pakistan Vs England,Pakistan,10,Haris Rauf,,1,1,0,0,100.00,Not Out,T20I # 1879
Pakistan Vs England,England,1,Jos Buttler,c †Mohammad Rizwan b Haris Rauf,26,17,3,1,152.94,Out,T20I # 1879
Pakistan Vs England,England,2,Alex Hales, b Shaheen Shah Afridi,1,2,0,0,50.00,Out,T20I # 1879
Pakistan Vs England,England,3,Phil Salt,c Iftikhar Ahmed b Haris Rauf,10,9,2,0,111.11,Out,T20I # 1879
Pakistan Vs England,England,4,Ben Stokes,,52,49,5,1,106.12,Not Out,T20I # 1879
Pakistan Vs England,England,5,Harry Brook,c Shaheen Shah Afridi b Shadab Khan,20,23,1,0,86.95,Out,T20I # 1879
Pakistan Vs England,England,6,Moeen Ali, b Mohammad Wasim,19,13,3,0,146.15,Out,T20I # 1879
Pakistan Vs England,England,7,Liam Livingstone,,1,1,0,0,100.00,Not Out,T20I # 1879
